new_index,original_index,Contract Area,Number Of Trees,Scientific Name,Common Name,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Longitude,Latitude,Location,image_path
1366,2148,Housing,1,Alnus cordata,Alder - Italian,9,4,20,Semi-mature,-0.151539,51.552026,"(51.552026, -0.151539)",/content/drive/MyDrive/data/sample_image/1433.png
1367,2182,Highways,1,Alnus cordata,Alder - Italian,25,12,77,Mature,-0.135077,51.532659,"(51.532659, -0.135077)",/content/drive/MyDrive/data/sample_image/1434.png
1368,2388,Highways,1,Alnus cordata,Alder - Italian,13,6,27,Mature,-0.132842,51.518892,"(51.518892, -0.132842)",/content/drive/MyDrive/data/sample_image/1435.png
1369,2494,Highways,1,Alnus cordata,Alder - Italian,20,8,54,Mature,-0.196294,51.543124,"(51.543124, -0.196294)",/content/drive/MyDrive/data/sample_image/1436.png
1370,2619,Parks,1,Alnus cordata,Alder - Italian,12,2,10,Semi-mature,-0.134847,51.540802,"(51.540802, -0.134847)",/content/drive/MyDrive/data/sample_image/1437.png
1371,2670,Highways,1,Alnus cordata,Alder - Italian,22,7,53,Mature,-0.183104,51.567582,"(51.567582, -0.183104)",/content/drive/MyDrive/data/sample_image/1438.png
1372,2889,Housing,1,Alnus cordata,Alder - Italian,4,1,8,Young,-0.174167,51.558549,"(51.558549, -0.174167)",/content/drive/MyDrive/data/sample_image/1439.png
1373,3173,Highways,1,Alnus cordata,Alder - Italian,5,2,8,Young,-0.14122,51.528587,"(51.528587, -0.14122)",/content/drive/MyDrive/data/sample_image/1440.png
1374,3218,Housing,1,Alnus cordata,Alder - Italian,7,2,7,Semi-mature,-0.133783,51.542504,"(51.542504, -0.133783)",/content/drive/MyDrive/data/sample_image/1441.png
1375,3291,Highways,1,Alnus cordata,Alder - Italian,14,6,51,Mature,-0.204326,51.549239,"(51.549239, -0.204326)",/content/drive/MyDrive/data/sample_image/1442.png
1376,3331,Highways,1,Alnus cordata,Alder - Italian,3,1,4,Young,-0.142545,51.54651,"(51.54651, -0.142545)",/content/drive/MyDrive/data/sample_image/1444.png
1377,3393,Housing,1,Alnus cordata,Alder - Italian,18,6,44,Mature,-0.146128,51.55466,"(51.55466, -0.146128)",/content/drive/MyDrive/data/sample_image/1445.png
1378,3491,Housing,1,Alnus cordata,Alder - Italian,16,6,39,Semi-mature,-0.121361,51.529042,"(51.529042, -0.121361)",/content/drive/MyDrive/data/sample_image/1446.png
1379,3607,Highways,1,Alnus cordata,Alder - Italian,23,12,60,Mature,-0.132872,51.519048,"(51.519048, -0.132872)",/content/drive/MyDrive/data/sample_image/1447.png
1380,3750,Housing,1,Alnus cordata,Alder - Italian,18,9,46,Mature,-0.164699,51.551208,"(51.551208, -0.164699)",/content/drive/MyDrive/data/sample_image/1448.png
1381,4098,Highways,1,Alnus cordata,Alder - Italian,23,7,69,Mature,-0.132918,51.529153,"(51.529153, -0.132918)",/content/drive/MyDrive/data/sample_image/1449.png
1382,4134,Highways,1,Alnus cordata,Alder - Italian,14,7,36,Mature,-0.193433,51.540654,"(51.540654, -0.193433)",/content/drive/MyDrive/data/sample_image/1451.png
1383,4389,Highways,1,Alnus cordata,Alder - Italian,13,5,31,Semi-mature,-0.132773,51.518942,"(51.518942, -0.132773)",/content/drive/MyDrive/data/sample_image/1452.png
1384,4406,Parks,1,Alnus cordata,Alder - Italian,17,5,43,Mature,-0.1347,51.540887,"(51.540887, -0.1347)",/content/drive/MyDrive/data/sample_image/1454.png
1385,4452,Housing,1,Alnus cordata,Alder - Italian,4,1.5,4,Young,-0.138018,51.542737,"(51.542737, -0.138018)",/content/drive/MyDrive/data/sample_image/1455.png
1386,4560,Housing,1,Alnus cordata,Alder - Italian,18,2,30,Semi-mature,-0.151915,51.551973,"(51.551973, -0.151915)",/content/drive/MyDrive/data/sample_image/1456.png
1387,4715,Housing,1,Alnus cordata,Alder - Italian,7,2,7,Semi-mature,-0.133888,51.542476,"(51.542476, -0.133888)",/content/drive/MyDrive/data/sample_image/1457.png
1388,4728,Parks,1,Alnus cordata,Alder - Italian,18,4,27,Mature,-0.134578,51.540694,"(51.540694, -0.134578)",/content/drive/MyDrive/data/sample_image/1458.png
1389,4870,Highways,1,Alnus cordata,Alder - Italian,15,4,19,Semi-mature,-0.134217,51.530334,"(51.530334, -0.134217)",/content/drive/MyDrive/data/sample_image/1459.png
1390,5051,Highways,1,Alnus cordata,Alder - Italian,23,7,73,Mature,-0.132365,51.52866,"(51.52866, -0.132365)",/content/drive/MyDrive/data/sample_image/1460.png
1391,5447,Parks,1,Alnus cordata,Alder - Italian,15,3,24,Semi-mature,-0.134184,51.540795,"(51.540795, -0.134184)",/content/drive/MyDrive/data/sample_image/1461.png
1392,5448,Highways,1,Alnus cordata,Alder - Italian,25,9,61,Mature,-0.131317,51.534854,"(51.534854, -0.131317)",/content/drive/MyDrive/data/sample_image/1462.png
1393,5484,Highways,1,Alnus cordata,Alder - Italian,3,2,4,Young,-0.196858,51.542963,"(51.542963, -0.196858)",/content/drive/MyDrive/data/sample_image/1463.png
1394,5802,Housing,1,Alnus cordata,Alder - Italian,15,8,72,Late mature,-0.187935,51.53657,"(51.53657, -0.187935)",/content/drive/MyDrive/data/sample_image/1464.png
1395,5850,Parks,1,Alnus cordata,Alder - Italian,19,4,29,Mature,-0.134784,51.540659,"(51.540659, -0.134784)",/content/drive/MyDrive/data/sample_image/1465.png
1396,5873,Parks,1,Alnus cordata,Alder - Italian,3,2,4,Young,-0.138387,51.532735,"(51.532735, -0.138387)",/content/drive/MyDrive/data/sample_image/1466.png
1397,5942,Highways,1,Alnus cordata,Alder - Italian,16,7,39,Mature,-0.193682,51.540548,"(51.540548, -0.193682)",/content/drive/MyDrive/data/sample_image/1468.png
1398,6105,Parks,1,Alnus cordata,Alder - Italian,15,4,18,Mature,-0.134813,51.54074,"(51.54074, -0.134813)",/content/drive/MyDrive/data/sample_image/1469.png
1399,6263,Housing,1,Alnus cordata,Alder - Italian,5,3,9,Mature,-0.150972,51.551366,"(51.551366, -0.150972)",/content/drive/MyDrive/data/sample_image/1470.png
1400,6319,Parks,1,Alnus cordata,Alder - Italian,13,4,12,Mature,-0.134843,51.54082,"(51.54082, -0.134843)",/content/drive/MyDrive/data/sample_image/1471.png
1401,6380,Housing,1,Alnus cordata,Alder - Italian,23,10,57,Mature,-0.151403,51.551925,"(51.551925, -0.151403)",/content/drive/MyDrive/data/sample_image/1472.png
1402,6443,Highways,1,Alnus cordata,Alder - Italian,13,5,28,Semi-mature,-0.162504,51.536712,"(51.536712, -0.162504)",/content/drive/MyDrive/data/sample_image/1473.png
1403,6542,Highways,1,Alnus cordata,Alder - Italian,23,8,69,Mature,-0.132619,51.518781,"(51.518781, -0.132619)",/content/drive/MyDrive/data/sample_image/1474.png
1404,6593,Highways,1,Alnus cordata,Alder - Italian,11,4,22,Semi-mature,-0.162265,51.536788,"(51.536788, -0.162265)",/content/drive/MyDrive/data/sample_image/1475.png
1405,6844,Highways,1,Alnus cordata,Alder - Italian,21,10,58,Mature,-0.13271,51.518746,"(51.518746, -0.13271)",/content/drive/MyDrive/data/sample_image/1476.png
1406,7341,Housing,1,Alnus cordata,Alder - Italian,16,5,42,Mature,-0.164798,51.551172,"(51.551172, -0.164798)",/content/drive/MyDrive/data/sample_image/1477.png
1407,7396,Parks,1,Alnus cordata,Alder - Italian,3,1.5,4,Young,-0.197553,51.554641,"(51.554641, -0.197553)",/content/drive/MyDrive/data/sample_image/1478.png
1408,8027,Highways,1,Alnus cordata,Alder - Italian,20,8,71,Mature,-0.14102,51.555231,"(51.555231, -0.14102)",/content/drive/MyDrive/data/sample_image/1479.png
1409,8673,Parks,1,Alnus cordata,Alder - Italian,15,10,53,Mature,-0.138476,51.523991,"(51.523991, -0.138476)",/content/drive/MyDrive/data/sample_image/1480.png
1410,8684,Highways,1,Alnus cordata,Alder - Italian,4,1.5,5,Young,-0.128184,51.532799,"(51.532799, -0.128184)",/content/drive/MyDrive/data/sample_image/1481.png
1411,8813,Highways,1,Alnus cordata,Alder - Italian,6,3,8,Young,-0.13299,51.519059,"(51.519059, -0.13299)",/content/drive/MyDrive/data/sample_image/1482.png
1412,8858,Highways,1,Alnus cordata,Alder - Italian,24.5,8,59,Mature,-0.130158,51.534368,"(51.534368, -0.130158)",/content/drive/MyDrive/data/sample_image/1483.png
1413,9119,Housing,1,Alnus cordata,Alder - Italian,22,10,76,Mature,-0.150657,51.551054,"(51.551054, -0.150657)",/content/drive/MyDrive/data/sample_image/1484.png
1414,9224,Parks,1,Alnus cordata,Alder - Italian,19,4,26,Mature,-0.134578,51.5407,"(51.5407, -0.134578)",/content/drive/MyDrive/data/sample_image/1485.png
1415,9311,Highways,1,Alnus cordata,Alder - Italian,4.2,1,6,Young,-0.132854,51.529112,"(51.529112, -0.132854)",/content/drive/MyDrive/data/sample_image/1486.png
1416,9466,Housing,1,Alnus cordata,Alder - Italian,18,8,72,Mature,-0.117112,51.519114,"(51.519114, -0.117112)",/content/drive/MyDrive/data/sample_image/1487.png
1417,9620,Housing,1,Alnus cordata,Alder - Italian,22,6,49,Mature,-0.151903,51.552037,"(51.552037, -0.151903)",/content/drive/MyDrive/data/sample_image/1488.png
1418,9716,Highways,1,Alnus cordata,Alder - Italian,13,6,47,Mature,-0.196354,51.547835,"(51.547835, -0.196354)",/content/drive/MyDrive/data/sample_image/1489.png
1419,9828,Highways,1,Alnus cordata,Alder - Italian,3,2,4,Young,-0.196525,51.543074,"(51.543074, -0.196525)",/content/drive/MyDrive/data/sample_image/1490.png
1420,10106,Highways,1,Alnus cordata,Alder - Italian,22,7,48,Mature,-0.130896,51.534681,"(51.534681, -0.130896)",/content/drive/MyDrive/data/sample_image/1491.png
1421,10276,Housing,1,Alnus cordata,Alder - Italian,6,4,12,Semi-mature,-0.15419,51.553205,"(51.553205, -0.15419)",/content/drive/MyDrive/data/sample_image/1492.png
1422,10282,Housing,1,Alnus cordata,Alder - Italian,6,2,7,Semi-mature,-0.13461,51.542303,"(51.542303, -0.13461)",/content/drive/MyDrive/data/sample_image/1494.png
1423,10521,Housing,1,Alnus cordata,Alder - Italian,22,14,65,Mature,-0.130879,51.528587,"(51.528587, -0.130879)",/content/drive/MyDrive/data/sample_image/1495.png
1424,22225,Highways,1,Alnus cordata,Alder - Italian,14,6,37,Mature,-0.193342,51.540196,"(51.540196, -0.193342)",/content/drive/MyDrive/data/sample_image/1496.png
1425,22410,Housing,1,Alnus cordata,Alder - Italian,4,2,8,Semi-mature,-0.133459,51.542587,"(51.542587, -0.133459)",/content/drive/MyDrive/data/sample_image/1497.png
1426,22723,Housing,1,Alnus cordata,Alder - Italian,20,8,42,Semi-mature,-0.151742,51.551964,"(51.551964, -0.151742)",/content/drive/MyDrive/data/sample_image/1498.png
1427,22781,Parks,1,Alnus cordata,Alder - Italian,3,1.5,4,Young,-0.197877,51.554788,"(51.554788, -0.197877)",/content/drive/MyDrive/data/sample_image/1499.png
1428,22832,Parks,1,Alnus cordata,Alder - Italian,14,4,24,Mature,-0.134818,51.540723,"(51.540723, -0.134818)",/content/drive/MyDrive/data/sample_image/1500.png
1429,23179,Parks,1,Alnus cordata,Alder - Italian,17,4,35,Mature,-0.134803,51.540861,"(51.540861, -0.134803)",/content/drive/MyDrive/data/sample_image/1501.png
1430,23739,Highways,1,Alnus cordata,Alder - Italian,18,6,55,Mature,-0.130946,51.532403,"(51.532403, -0.130946)",/content/drive/MyDrive/data/sample_image/1502.png
1431,23757,Housing,1,Alnus cordata,Alder - Italian,18,9,32,Semi-mature,-0.13086,51.534222,"(51.534222, -0.13086)",/content/drive/MyDrive/data/sample_image/1503.png
1432,24092,Housing,1,Alnus cordata,Alder - Italian,7,2,7,Semi-mature,-0.134333,51.542369,"(51.542369, -0.134333)",/content/drive/MyDrive/data/sample_image/1504.png
1433,24165,Highways,1,Alnus cordata,Alder - Italian,4,2,6,Young,-0.143087,51.524915,"(51.524915, -0.143087)",/content/drive/MyDrive/data/sample_image/1505.png
1434,24478,Housing,1,Alnus cordata,Alder - Italian,16,9,38,Semi-mature,-0.121367,51.528091,"(51.528091, -0.121367)",/content/drive/MyDrive/data/sample_image/1506.png
38,22370,Highways,1,Amelanchier lamarckii,June Berry,5,2,8,Young,-0.150783,51.552486,"(51.552486, -0.150783)",/content/drive/MyDrive/data/sample_image/38.png
57,12884,Highways,1,Amelanchier lamarckii,June Berry,5,1,10,Young,-0.14543,51.560498,"(51.560498, -0.14543)",/content/drive/MyDrive/data/sample_image/57.png
105,14113,Highways,1,Amelanchier lamarckii,June Berry,3,1.5,4,Young,-0.196847,51.550894,"(51.550894, -0.196847)",/content/drive/MyDrive/data/sample_image/105.png
199,779,Highways,1,Amelanchier lamarckii,June Berry,2,1.5,4,Young,-0.157538,51.541992,"(51.541992, -0.157538)",/content/drive/MyDrive/data/sample_image/199.png
225,23832,Highways,1,Amelanchier lamarckii,June Berry,5,3,9,Young,-0.142316,51.554963,"(51.554963, -0.142316)",/content/drive/MyDrive/data/sample_image/225.png
227,16603,Highways,1,Amelanchier lamarckii,June Berry,5,2,9,Young,-0.191175,51.557321,"(51.557321, -0.191175)",/content/drive/MyDrive/data/sample_image/227.png
247,8245,Highways,1,Amelanchier lamarckii,June Berry,5,2,8,Semi-mature,-0.190937,51.557412,"(51.557412, -0.190937)",/content/drive/MyDrive/data/sample_image/247.png
276,19771,Highways,1,Amelanchier lamarckii,June Berry,5,2,7,Young,-0.143709,51.549696,"(51.549696, -0.143709)",/content/drive/MyDrive/data/sample_image/276.png
370,5781,Highways,1,Amelanchier lamarckii,June Berry,3,2,6,Young,-0.140846,51.555348,"(51.555348, -0.140846)",/content/drive/MyDrive/data/sample_image/370.png
412,22021,Highways,1,Amelanchier lamarckii,June Berry,5,2,7,Young,-0.166678,51.54857,"(51.54857, -0.166678)",/content/drive/MyDrive/data/sample_image/412.png
431,570,Highways,1,Amelanchier lamarckii,June Berry,5,3,14,Semi-mature,-0.13648,51.553907,"(51.553907, -0.13648)",/content/drive/MyDrive/data/sample_image/431.png
437,4273,Highways,1,Amelanchier lamarckii,June Berry,5,2,12,Semi-mature,-0.134826,51.547644,"(51.547644, -0.134826)",/content/drive/MyDrive/data/sample_image/437.png
462,14997,Highways,1,Amelanchier lamarckii,June Berry,7,3,16,Semi-mature,-0.197083,51.551522,"(51.551522, -0.197083)",/content/drive/MyDrive/data/sample_image/462.png
464,8152,Highways,1,Amelanchier lamarckii,June Berry,5,3,8,Young,-0.162481,51.554656,"(51.554656, -0.162481)",/content/drive/MyDrive/data/sample_image/464.png
520,2302,Highways,1,Amelanchier lamarckii,June Berry,6,4,14,Semi-mature,-0.149758,51.547188,"(51.547188, -0.149758)",/content/drive/MyDrive/data/sample_image/520.png
533,23818,Highways,1,Amelanchier lamarckii,June Berry,3,2,6,Young,-0.136307,51.546391,"(51.546391, -0.136307)",/content/drive/MyDrive/data/sample_image/533.png
619,22778,Highways,1,Amelanchier lamarckii,June Berry,5,2,12,Semi-mature,-0.200881,51.551866,"(51.551866, -0.200881)",/content/drive/MyDrive/data/sample_image/619.png
870,6298,Highways,1,Amelanchier lamarckii,June Berry,4,2,12,Young,-0.19315,51.545076,"(51.545076, -0.19315)",/content/drive/MyDrive/data/sample_image/870.png
871,12688,Highways,1,Amelanchier lamarckii,June Berry,4,3,11,Young,-0.196507,51.550489,"(51.550489, -0.196507)",/content/drive/MyDrive/data/sample_image/871.png
872,11383,Highways,1,Amelanchier lamarckii,June Berry,5,2,9,Young,-0.143259,51.545635,"(51.545635, -0.143259)",/content/drive/MyDrive/data/sample_image/872.png
873,12972,Highways,1,Amelanchier lamarckii,June Berry,7,4,13,Semi-mature,-0.163145,51.550158,"(51.550158, -0.163145)",/content/drive/MyDrive/data/sample_image/873.png
874,12398,Highways,1,Amelanchier lamarckii,June Berry,4,2,12,Young,-0.138246,51.547778,"(51.547778, -0.138246)",/content/drive/MyDrive/data/sample_image/874.png
1435,252,Highways,1,Amelanchier lamarckii,June Berry,5,3,13,Young,-0.19296,51.545475,"(51.545475, -0.19296)",/content/drive/MyDrive/data/sample_image/1507.png
1436,397,Highways,1,Amelanchier lamarckii,June Berry,4,2,10,Young,-0.142172,51.562044,"(51.562044, -0.142172)",/content/drive/MyDrive/data/sample_image/1508.png
1437,648,Highways,1,Amelanchier lamarckii,June Berry,6,3,8,Young,-0.133962,51.544453,"(51.544453, -0.133962)",/content/drive/MyDrive/data/sample_image/1509.png
1438,771,Housing,1,Amelanchier lamarckii,June Berry,5,3,8,Semi-mature,-0.161749,51.549788,"(51.549788, -0.161749)",/content/drive/MyDrive/data/sample_image/1510.png
1439,779,Highways,1,Amelanchier lamarckii,June Berry,2,1.5,4,Young,-0.157538,51.541992,"(51.541992, -0.157538)",/content/drive/MyDrive/data/sample_image/1511.png
1440,811,Highways,1,Amelanchier lamarckii,June Berry,7,4,12,Semi-mature,-0.148017,51.559032,"(51.559032, -0.148017)",/content/drive/MyDrive/data/sample_image/1512.png
1441,931,Highways,1,Amelanchier lamarckii,June Berry,5,4,14,Semi-mature,-0.172214,51.556367,"(51.556367, -0.172214)",/content/drive/MyDrive/data/sample_image/1513.png
1442,1004,Highways,1,Amelanchier lamarckii,June Berry,3,1,5,Young,-0.20321,51.553497,"(51.553497, -0.20321)",/content/drive/MyDrive/data/sample_image/1514.png
1443,1061,Highways,1,Amelanchier lamarckii,June Berry,5,12,9,Semi-mature,-0.195525,51.542259,"(51.542259, -0.195525)",/content/drive/MyDrive/data/sample_image/1515.png
1444,1085,Highways,1,Amelanchier lamarckii,June Berry,3,2,6,Young,-0.13857,51.555124,"(51.555124, -0.13857)",/content/drive/MyDrive/data/sample_image/1516.png
1445,1190,Highways,1,Amelanchier lamarckii,June Berry,4,2,5,Young,-0.143237,51.545279,"(51.545279, -0.143237)",/content/drive/MyDrive/data/sample_image/1517.png
1446,1334,Highways,1,Amelanchier lamarckii,June Berry,5,3,10,Young,-0.135806,51.538614,"(51.538614, -0.135806)",/content/drive/MyDrive/data/sample_image/1518.png
1447,1378,Highways,1,Amelanchier lamarckii,June Berry,7,3,14,Mature,-0.119369,51.519747,"(51.519747, -0.119369)",/content/drive/MyDrive/data/sample_image/1519.png
1448,1842,Parks,1,Amelanchier lamarckii,June Berry,6,3,10,Semi-mature,-0.148986,51.547508,"(51.547508, -0.148986)",/content/drive/MyDrive/data/sample_image/1520.png
1449,1911,Highways,1,Amelanchier lamarckii,June Berry,6,4,17,Semi-mature,-0.197644,51.552362,"(51.552362, -0.197644)",/content/drive/MyDrive/data/sample_image/1521.png
1450,1922,Highways,1,Amelanchier lamarckii,June Berry,3,1.5,4,Young,-0.151024,51.554218,"(51.554218, -0.151024)",/content/drive/MyDrive/data/sample_image/1522.png
1451,2048,Highways,1,Amelanchier lamarckii,June Berry,4,1.5,5,Young,-0.166055,51.549859,"(51.549859, -0.166055)",/content/drive/MyDrive/data/sample_image/1523.png
1452,2112,Highways,1,Amelanchier lamarckii,June Berry,6,5,18,Mature,-0.172478,51.556395,"(51.556395, -0.172478)",/content/drive/MyDrive/data/sample_image/1524.png
1453,2263,Highways,1,Amelanchier lamarckii,June Berry,4,2,10,Semi-mature,-0.196225,51.544874,"(51.544874, -0.196225)",/content/drive/MyDrive/data/sample_image/1525.png
1454,2313,Highways,1,Amelanchier lamarckii,June Berry,2.5,1,4,Young,-0.165598,51.548744,"(51.548744, -0.165598)",/content/drive/MyDrive/data/sample_image/1527.png
1455,2424,Highways,1,Amelanchier lamarckii,June Berry,6,2,11,Semi-mature,-0.138573,51.554796,"(51.554796, -0.138573)",/content/drive/MyDrive/data/sample_image/1528.png
1456,2429,Highways,1,Amelanchier lamarckii,June Berry,4,2,11,Young,-0.196542,51.549316,"(51.549316, -0.196542)",/content/drive/MyDrive/data/sample_image/1529.png
1457,2766,Highways,1,Amelanchier lamarckii,June Berry,4,2,8,Young,-0.165533,51.555546,"(51.555546, -0.165533)",/content/drive/MyDrive/data/sample_image/1530.png
1458,3105,Parks,1,Amelanchier lamarckii,June Berry,6,2,9,Semi-mature,-0.148817,51.547419,"(51.547419, -0.148817)",/content/drive/MyDrive/data/sample_image/1531.png
1459,3138,Highways,1,Amelanchier lamarckii,June Berry,4,1,5,Young,-0.14667,51.549234,"(51.549234, -0.14667)",/content/drive/MyDrive/data/sample_image/1532.png
1460,3550,Housing,1,Amelanchier lamarckii,June Berry,5.5,3.5,17,Mature,-0.134521,51.536726,"(51.536726, -0.134521)",/content/drive/MyDrive/data/sample_image/1533.png
1461,3596,Highways,1,Amelanchier lamarckii,June Berry,4,3,10,Young,-0.141676,51.55459,"(51.55459, -0.141676)",/content/drive/MyDrive/data/sample_image/1534.png
1462,3676,Highways,1,Amelanchier lamarckii,June Berry,3,2,7,Young,-0.196374,51.550057,"(51.550057, -0.196374)",/content/drive/MyDrive/data/sample_image/1535.png
1463,3767,Highways,1,Amelanchier lamarckii,June Berry,6,3,8,Semi-mature,-0.162951,51.550565,"(51.550565, -0.162951)",/content/drive/MyDrive/data/sample_image/1536.png
1464,4387,Housing,1,Amelanchier lamarckii,June Berry,3,2,5,Semi-mature,-0.145614,51.55503,"(51.55503, -0.145614)",/content/drive/MyDrive/data/sample_image/1538.png
1465,4505,Highways,1,Amelanchier lamarckii,June Berry,4,2,9,Young,-0.194825,51.544424,"(51.544424, -0.194825)",/content/drive/MyDrive/data/sample_image/1540.png
1466,4570,Highways,1,Amelanchier lamarckii,June Berry,5,3,9,Young,-0.119305,51.521733,"(51.521733, -0.119305)",/content/drive/MyDrive/data/sample_image/1541.png
1467,4667,Highways,1,Amelanchier lamarckii,June Berry,3,2,9,Young,-0.193005,51.545194,"(51.545194, -0.193005)",/content/drive/MyDrive/data/sample_image/1542.png
1468,4764,Highways,1,Amelanchier lamarckii,June Berry,5,3,10,Young,-0.124919,51.524689,"(51.524689, -0.124919)",/content/drive/MyDrive/data/sample_image/1543.png
1469,4787,Housing,1,Amelanchier lamarckii,June Berry,3,1,4,Young,-0.148987,51.545348,"(51.545348, -0.148987)",/content/drive/MyDrive/data/sample_image/1544.png
1470,4950,Highways,1,Amelanchier lamarckii,June Berry,5,3,11,Semi-mature,-0.194988,51.542637,"(51.542637, -0.194988)",/content/drive/MyDrive/data/sample_image/1545.png
1471,5023,Highways,1,Amelanchier lamarckii,June Berry,4,2,6,Young,-0.137958,51.546438,"(51.546438, -0.137958)",/content/drive/MyDrive/data/sample_image/1546.png
1472,5118,Highways,1,Amelanchier lamarckii,June Berry,3,2,11,Semi-mature,-0.161977,51.558056,"(51.558056, -0.161977)",/content/drive/MyDrive/data/sample_image/1547.png
1473,5214,Highways,1,Amelanchier lamarckii,June Berry,5,4,12,Semi-mature,-0.144383,51.547835,"(51.547835, -0.144383)",/content/drive/MyDrive/data/sample_image/1548.png
1474,5218,Highways,1,Amelanchier lamarckii,June Berry,4,2,6,Young,-0.149318,51.556397,"(51.556397, -0.149318)",/content/drive/MyDrive/data/sample_image/1550.png
1475,5251,Housing,1,Amelanchier lamarckii,June Berry,4.5,3.5,12,Semi-mature,-0.130947,51.534087,"(51.534087, -0.130947)",/content/drive/MyDrive/data/sample_image/1552.png
1476,5252,Parks,1,Amelanchier lamarckii,June Berry,6,2,10,Semi-mature,-0.148929,51.547478,"(51.547478, -0.148929)",/content/drive/MyDrive/data/sample_image/1553.png
1477,5523,Highways,1,Amelanchier lamarckii,June Berry,6,3,15,Semi-mature,-0.19765,51.550446,"(51.550446, -0.19765)",/content/drive/MyDrive/data/sample_image/1554.png
1478,5541,Housing,1,Amelanchier lamarckii,June Berry,7,4,12,Semi-mature,-0.120335,51.520284,"(51.520284, -0.120335)",/content/drive/MyDrive/data/sample_image/1555.png
1479,5599,Highways,1,Amelanchier lamarckii,June Berry,2.5,1,3.5,Young,-0.166639,51.549528,"(51.549528, -0.166639)",/content/drive/MyDrive/data/sample_image/1556.png
1480,5718,Highways,1,Amelanchier lamarckii,June Berry,4,2,9,Young,-0.202244,51.551349,"(51.551349, -0.202244)",/content/drive/MyDrive/data/sample_image/1557.png
1481,5785,Highways,1,Amelanchier lamarckii,June Berry,5,2,10,Young,-0.205649,51.553851,"(51.553851, -0.205649)",/content/drive/MyDrive/data/sample_image/1558.png
1482,5787,Housing,1,Amelanchier lamarckii,June Berry,2,2,8,Young,-0.146404,51.544887,"(51.544887, -0.146404)",/content/drive/MyDrive/data/sample_image/1559.png
1483,5876,Highways,1,Amelanchier lamarckii,June Berry,6,3,10,Semi-mature,-0.193421,51.545902,"(51.545902, -0.193421)",/content/drive/MyDrive/data/sample_image/1560.png
1484,6039,Highways,1,Amelanchier lamarckii,June Berry,4,2,6,Young,-0.120256,51.521922,"(51.521922, -0.120256)",/content/drive/MyDrive/data/sample_image/1561.png
1485,6040,Highways,1,Amelanchier lamarckii,June Berry,2,1,4,Young,-0.155168,51.542335,"(51.542335, -0.155168)",/content/drive/MyDrive/data/sample_image/1562.png
1486,6137,Highways,1,Amelanchier lamarckii,June Berry,5,4,15,Mature,-0.171777,51.556235,"(51.556235, -0.171777)",/content/drive/MyDrive/data/sample_image/1565.png
1487,6288,Highways,1,Amelanchier lamarckii,June Berry,4,1,4,Young,-0.124969,51.524779,"(51.524779, -0.124969)",/content/drive/MyDrive/data/sample_image/1566.png
1488,6515,Highways,1,Amelanchier lamarckii,June Berry,3,2,10,Semi-mature,-0.17277,51.556427,"(51.556427, -0.17277)",/content/drive/MyDrive/data/sample_image/1567.png
1489,6773,Highways,1,Amelanchier lamarckii,June Berry,7,3,17,Semi-mature,-0.197374,51.552472,"(51.552472, -0.197374)",/content/drive/MyDrive/data/sample_image/1568.png
1490,6787,Highways,1,Amelanchier lamarckii,June Berry,2,1.5,4,Young,-0.142938,51.547531,"(51.547531, -0.142938)",/content/drive/MyDrive/data/sample_image/1571.png
1491,6935,Highways,1,Amelanchier lamarckii,June Berry,6,3,12,Semi-mature,-0.196995,51.551308,"(51.551308, -0.196995)",/content/drive/MyDrive/data/sample_image/1572.png
1492,7301,Highways,1,Amelanchier lamarckii,June Berry,5,2,5,Young,-0.132706,51.54377,"(51.54377, -0.132706)",/content/drive/MyDrive/data/sample_image/1573.png
1493,7454,Highways,1,Amelanchier lamarckii,June Berry,6,4,17,Mature,-0.166913,51.549384,"(51.549384, -0.166913)",/content/drive/MyDrive/data/sample_image/1574.png
1494,7455,Highways,1,Amelanchier lamarckii,June Berry,4,1,6,Young,-0.135199,51.546555,"(51.546555, -0.135199)",/content/drive/MyDrive/data/sample_image/1575.png
1495,7559,Housing,1,Amelanchier lamarckii,June Berry,4,2,7,Young,-0.148502,51.544027,"(51.544027, -0.148502)",/content/drive/MyDrive/data/sample_image/1576.png
1496,7877,Highways,1,Amelanchier lamarckii,June Berry,5,3,16,Semi-mature,-0.199726,51.551969,"(51.551969, -0.199726)",/content/drive/MyDrive/data/sample_image/1577.png
1497,8186,Highways,1,Amelanchier lamarckii,June Berry,6,3,9,Young,-0.155863,51.554618,"(51.554618, -0.155863)",/content/drive/MyDrive/data/sample_image/1578.png
1498,22197,Highways,1,Amelanchier lamarckii,June Berry,4,1.5,4,Young,-0.153857,51.55479,"(51.55479, -0.153857)",/content/drive/MyDrive/data/sample_image/1579.png
1499,22449,Highways,1,Amelanchier lamarckii,June Berry,2,1,3,Young,-0.197119,51.551619,"(51.551619, -0.197119)",/content/drive/MyDrive/data/sample_image/1580.png
1500,22647,Housing,1,Amelanchier lamarckii,June Berry,3,2,12,Young,-0.142919,51.56391,"(51.56391, -0.142919)",/content/drive/MyDrive/data/sample_image/1581.png
1501,22649,Highways,1,Amelanchier lamarckii,June Berry,4,3,11,Semi-mature,-0.174232,51.556261,"(51.556261, -0.174232)",/content/drive/MyDrive/data/sample_image/1582.png
